provider,type,range
AzureFrontDoor,ipv6,2603:1030:f:1::5e0/123
AzureFrontDoor,ipv6,2603:1030:10:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:10:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:104:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:104:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:107::680/123
AzureFrontDoor,ipv6,2603:1030:210:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:210:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:40b:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:40c:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:40c:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:504:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:504:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:608::5e0/123
AzureFrontDoor,ipv6,2603:1030:702:2::e0/123
AzureFrontDoor,ipv6,2603:1030:807:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:807:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:a07::5e0/123
AzureFrontDoor,ipv6,2603:1030:b04::5e0/123
AzureFrontDoor,ipv6,2603:1030:c06:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:f05:1::5a0/123
AzureFrontDoor,ipv6,2603:1030:f05:1::7c0/123
AzureFrontDoor,ipv6,2603:1030:1005::5e0/123
AzureFrontDoor,ipv6,2603:1040:5::c0/123
AzureFrontDoor,ipv6,2603:1040:5:1::5a0/123
AzureFrontDoor,ipv6,2603:1040:5:1::7c0/123
AzureFrontDoor,ipv6,2603:1040:207::5e0/123
AzureFrontDoor,ipv6,2603:1040:407:1::5a0/123
AzureFrontDoor,ipv6,2603:1040:407:1::7c0/123
AzureFrontDoor,ipv6,2603:1040:606::5e0/123
AzureFrontDoor,ipv6,2603:1040:806::5e0/123
AzureFrontDoor,ipv6,2603:1040:904:1::5a0/123
AzureFrontDoor,ipv6,2603:1040:904:1::7c0/123
AzureFrontDoor,ipv6,2603:1040:a06::c0/123
AzureFrontDoor,ipv6,2603:1040:a06:1::5a0/123
AzureFrontDoor,ipv6,2603:1040:a06:1::7c0/123
AzureFrontDoor,ipv6,2603:1040:b04::5e0/123
AzureFrontDoor,ipv6,2603:1040:c06::5e0/123
AzureFrontDoor,ipv6,2603:1040:d04::5a0/123
AzureFrontDoor,ipv6,2603:1040:d04::7c0/123
AzureFrontDoor,ipv6,2603:1040:e05:6::180/123
AzureFrontDoor,ipv6,2603:1040:f05:1::5a0/123
AzureFrontDoor,ipv6,2603:1040:f05:1::7c0/123
AzureFrontDoor,ipv6,2603:1040:1002:1::1c0/123
AzureFrontDoor,ipv6,2603:1040:1104::5e0/123
AzureFrontDoor,ipv6,2603:1040:1302:1::4c0/123
AzureFrontDoor,ipv6,2603:1040:1402:1::1a0/123
AzureFrontDoor,ipv6,2603:1040:1602:2::220/123
AzureFrontDoor,ipv6,2603:1050:6:1::5a0/123
AzureFrontDoor,ipv6,2603:1050:6:1::7c0/123
AzureFrontDoor,ipv6,2603:1050:403::5a0/123
AzureFrontDoor,ipv6,2603:1061:11::/48
AzureFrontDoor,ipv6,2603:1061:14::/47
AzureFrontDoor,ipv6,2603:1061:16::/50
AzureFrontDoor,ipv6,2603:1062:10::/48
AzureFrontDoor,ipv6,2620:1ec:27::/48
AzureFrontDoor,ipv6,2620:1ec:29::/48
AzureFrontDoor,ipv6,2620:1ec:32::/48
AzureFrontDoor,ipv6,2620:1ec:41::/48
AzureFrontDoor,ipv6,2620:1ec:46::/47
AzureFrontDoor,ipv6,2620:1ec:48::/48
AzureFrontDoor,ipv6,2620:1ec:4c::/46
AzureFrontDoor,ipv6,2620:1ec:50::/47
AzureFrontDoor,ipv6,2620:1ec:bdf::/48
AzureFrontDoor,ipv6,2603:1000:4::600/123
AzureFrontDoor,ipv6,2603:1000:104::e0/123
AzureFrontDoor,ipv6,2603:1000:104::300/123
AzureFrontDoor,ipv6,2603:1000:104:1::5c0/123
AzureFrontDoor,ipv6,2603:1000:104:1::7e0/123
AzureFrontDoor,ipv6,2603:1010:6:1::5c0/123
AzureFrontDoor,ipv6,2603:1010:6:1::7e0/123
AzureFrontDoor,ipv6,2603:1010:101::600/123
AzureFrontDoor,ipv6,2603:1010:304::600/123
